[2024-06-12 17:30:32.363]	 Removing "tmux-continuum"
[2024-06-12 17:30:32.377]	   "tmux-continuum" clean success
[2024-06-12 17:30:32.379]	 Removing "tmux-copycat"
[2024-06-12 17:30:32.391]	   "tmux-copycat" clean success
[2024-06-12 17:30:32.393]	 Removing "tmux-fzf-url"
[2024-06-12 17:30:32.400]	   "tmux-fzf-url" clean success
[2024-06-12 17:30:32.403]	 Removing "tmux-open"
[2024-06-12 17:30:32.409]	   "tmux-open" clean success
[2024-06-12 17:30:32.411]	 Removing "tmux-resurrect"
[2024-06-12 17:30:32.426]	   "tmux-resurrect" clean success
[2024-06-12 17:30:32.428]	 Removing "tmux-sessionx"
[2024-06-12 17:30:32.434]	   "tmux-sessionx" clean success
[2024-06-12 17:30:32.436]	 Removing "tmux-yank"
[2024-06-12 17:30:32.441]	   "tmux-yank" clean success
[2024-06-12 17:30:32.456]	 Done.

[2024-06-12 17:31:01.559]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 17:31:01.572]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 17:31:01.612]	 Installing "tmux-open"
[2024-06-12 17:31:01.613]	 Installing "tmux-copycat"
[2024-06-12 17:31:01.614]	 Installing "tmux-yank"
[2024-06-12 17:31:01.614]	 Installing "tmux-resurrect"
[2024-06-12 17:31:01.617]	 Installing "tmux-continuum"
[2024-06-12 17:31:01.618]	 Installing "tmux-sessionx"
[2024-06-12 17:31:01.620]	 Installing "tmux-fzf-url"
[2024-06-12 17:31:03.516]	   "tmux-fzf-url" download success
[2024-06-12 17:31:03.535]	   "tmux-continuum" download success
[2024-06-12 17:31:03.540]	   "tmux-open" download success
[2024-06-12 17:31:03.563]	   "tmux-yank" download success
[2024-06-12 17:31:03.590]	   "tmux-copycat" download success
[2024-06-12 17:31:03.622]	   "tmux-sessionx" download success
[2024-06-12 17:31:05.226]	   "tmux-resurrect" download success
[2024-06-12 17:31:05.241]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 17:31:05.260]	 Updating all plugins!
[2024-06-12 17:31:05.261]	 
[2024-06-12 17:31:06.537]	   "tmux-open" update success
[2024-06-12 17:31:06.540]	   "tmux-copycat" update success
[2024-06-12 17:31:06.541]	     | Already up to date.
[2024-06-12 17:31:06.544]	     | Already up to date.
[2024-06-12 17:31:06.545]	   "tmux-yank" update success
[2024-06-12 17:31:06.549]	     | Already up to date.
[2024-06-12 17:31:06.551]	   "tmux-continuum" update success
[2024-06-12 17:31:06.554]	     | Already up to date.
[2024-06-12 17:31:06.555]	   "tmux-resurrect" update success
